theta_1,theta_2,theta_3,theta_4,theta_5,theta_6,theta_7
1.6,1.6,4.0,3.2,0.0,1.6,1.6
2.4000000000000004,1.6,4.0,3.2,0.0,1.6,1.6
1.6,2.4000000000000004,4.0,3.2,0.0,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,3.2,0.0,1.6,1.6
1.6,1.6,0.0,4.0,0.0,1.6,1.6
2.4000000000000004,1.6,0.0,4.0,0.0,1.6,1.6
1.6,2.4000000000000004,0.0,4.0,0.0,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,4.0,0.0,1.6,1.6
1.6,1.6,0.8,4.0,0.0,1.6,1.6
2.4000000000000004,1.6,0.8,4.0,0.0,1.6,1.6
1.6,2.4000000000000004,0.8,4.0,0.0,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,4.0,0.0,1.6,1.6
1.6,1.6,1.6,4.0,0.0,1.6,1.6
2.4000000000000004,1.6,1.6,4.0,0.0,1.6,1.6
1.6,2.4000000000000004,1.6,4.0,0.0,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,4.0,0.0,1.6,1.6
1.6,1.6,2.4000000000000004,4.0,0.0,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,4.0,0.0,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,4.0,0.0,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,4.0,0.0,1.6,1.6
1.6,1.6,3.2,4.0,0.0,1.6,1.6
2.4000000000000004,1.6,3.2,4.0,0.0,1.6,1.6
1.6,2.4000000000000004,3.2,4.0,0.0,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,4.0,0.0,1.6,1.6
1.6,1.6,4.0,4.0,0.0,1.6,1.6
2.4000000000000004,1.6,4.0,4.0,0.0,1.6,1.6
1.6,2.4000000000000004,4.0,4.0,0.0,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,4.0,0.0,1.6,1.6
1.6,1.6,0.0,0.0,0.8,1.6,1.6
2.4000000000000004,1.6,0.0,0.0,0.8,1.6,1.6
1.6,2.4000000000000004,0.0,0.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,0.0,0.8,1.6,1.6
1.6,1.6,0.8,0.0,0.8,1.6,1.6
2.4000000000000004,1.6,0.8,0.0,0.8,1.6,1.6
1.6,2.4000000000000004,0.8,0.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,0.0,0.8,1.6,1.6
1.6,1.6,1.6,0.0,0.8,1.6,1.6
2.4000000000000004,1.6,1.6,0.0,0.8,1.6,1.6
1.6,2.4000000000000004,1.6,0.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,0.0,0.8,1.6,1.6
1.6,1.6,2.4000000000000004,0.0,0.8,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,0.0,0.8,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,0.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,0.0,0.8,1.6,1.6
1.6,1.6,3.2,0.0,0.8,1.6,1.6
2.4000000000000004,1.6,3.2,0.0,0.8,1.6,1.6
1.6,2.4000000000000004,3.2,0.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,0.0,0.8,1.6,1.6
1.6,1.6,4.0,0.0,0.8,1.6,1.6
2.4000000000000004,1.6,4.0,0.0,0.8,1.6,1.6
1.6,2.4000000000000004,4.0,0.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,0.0,0.8,1.6,1.6
1.6,1.6,0.0,0.8,0.8,1.6,1.6
2.4000000000000004,1.6,0.0,0.8,0.8,1.6,1.6
1.6,2.4000000000000004,0.0,0.8,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,0.8,0.8,1.6,1.6
1.6,1.6,0.8,0.8,0.8,1.6,1.6
2.4000000000000004,1.6,0.8,0.8,0.8,1.6,1.6
1.6,2.4000000000000004,0.8,0.8,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,0.8,0.8,1.6,1.6
1.6,1.6,1.6,0.8,0.8,1.6,1.6
2.4000000000000004,1.6,1.6,0.8,0.8,1.6,1.6
1.6,2.4000000000000004,1.6,0.8,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,0.8,0.8,1.6,1.6
1.6,1.6,2.4000000000000004,0.8,0.8,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,0.8,0.8,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,0.8,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,0.8,0.8,1.6,1.6
1.6,1.6,3.2,0.8,0.8,1.6,1.6
2.4000000000000004,1.6,3.2,0.8,0.8,1.6,1.6
1.6,2.4000000000000004,3.2,0.8,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,0.8,0.8,1.6,1.6
1.6,1.6,4.0,0.8,0.8,1.6,1.6
2.4000000000000004,1.6,4.0,0.8,0.8,1.6,1.6
1.6,2.4000000000000004,4.0,0.8,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,0.8,0.8,1.6,1.6
1.6,1.6,0.0,1.6,0.8,1.6,1.6
2.4000000000000004,1.6,0.0,1.6,0.8,1.6,1.6
1.6,2.4000000000000004,0.0,1.6,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,1.6,0.8,1.6,1.6
1.6,1.6,0.8,1.6,0.8,1.6,1.6
2.4000000000000004,1.6,0.8,1.6,0.8,1.6,1.6
1.6,2.4000000000000004,0.8,1.6,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,1.6,0.8,1.6,1.6
1.6,1.6,1.6,1.6,0.8,1.6,1.6
2.4000000000000004,1.6,1.6,1.6,0.8,1.6,1.6
1.6,2.4000000000000004,1.6,1.6,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,1.6,0.8,1.6,1.6
1.6,1.6,2.4000000000000004,1.6,0.8,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,1.6,0.8,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,1.6,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,1.6,0.8,1.6,1.6
1.6,1.6,3.2,1.6,0.8,1.6,1.6
2.4000000000000004,1.6,3.2,1.6,0.8,1.6,1.6
1.6,2.4000000000000004,3.2,1.6,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,1.6,0.8,1.6,1.6
1.6,1.6,4.0,1.6,0.8,1.6,1.6
2.4000000000000004,1.6,4.0,1.6,0.8,1.6,1.6
1.6,2.4000000000000004,4.0,1.6,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,1.6,0.8,1.6,1.6
1.6,1.6,0.0,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,1.6,0.0,2.4000000000000004,0.8,1.6,1.6
1.6,2.4000000000000004,0.0,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,2.4000000000000004,0.8,1.6,1.6
1.6,1.6,0.8,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,1.6,0.8,2.4000000000000004,0.8,1.6,1.6
1.6,2.4000000000000004,0.8,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,2.4000000000000004,0.8,1.6,1.6
1.6,1.6,1.6,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,1.6,1.6,2.4000000000000004,0.8,1.6,1.6
1.6,2.4000000000000004,1.6,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,2.4000000000000004,0.8,1.6,1.6
1.6,1.6,2.4000000000000004,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,2.4000000000000004,0.8,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,0.8,1.6,1.6
1.6,1.6,3.2,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,1.6,3.2,2.4000000000000004,0.8,1.6,1.6
1.6,2.4000000000000004,3.2,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,2.4000000000000004,0.8,1.6,1.6
1.6,1.6,4.0,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,1.6,4.0,2.4000000000000004,0.8,1.6,1.6
1.6,2.4000000000000004,4.0,2.4000000000000004,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,2.4000000000000004,0.8,1.6,1.6
1.6,1.6,0.0,3.2,0.8,1.6,1.6
2.4000000000000004,1.6,0.0,3.2,0.8,1.6,1.6
1.6,2.4000000000000004,0.0,3.2,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,3.2,0.8,1.6,1.6
1.6,1.6,0.8,3.2,0.8,1.6,1.6
2.4000000000000004,1.6,0.8,3.2,0.8,1.6,1.6
1.6,2.4000000000000004,0.8,3.2,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,3.2,0.8,1.6,1.6
1.6,1.6,1.6,3.2,0.8,1.6,1.6
2.4000000000000004,1.6,1.6,3.2,0.8,1.6,1.6
1.6,2.4000000000000004,1.6,3.2,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,3.2,0.8,1.6,1.6
1.6,1.6,2.4000000000000004,3.2,0.8,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,3.2,0.8,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,3.2,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,3.2,0.8,1.6,1.6
1.6,1.6,3.2,3.2,0.8,1.6,1.6
2.4000000000000004,1.6,3.2,3.2,0.8,1.6,1.6
1.6,2.4000000000000004,3.2,3.2,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,3.2,0.8,1.6,1.6
1.6,1.6,4.0,3.2,0.8,1.6,1.6
2.4000000000000004,1.6,4.0,3.2,0.8,1.6,1.6
1.6,2.4000000000000004,4.0,3.2,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,3.2,0.8,1.6,1.6
1.6,1.6,0.0,4.0,0.8,1.6,1.6
2.4000000000000004,1.6,0.0,4.0,0.8,1.6,1.6
1.6,2.4000000000000004,0.0,4.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,4.0,0.8,1.6,1.6
1.6,1.6,0.8,4.0,0.8,1.6,1.6
2.4000000000000004,1.6,0.8,4.0,0.8,1.6,1.6
1.6,2.4000000000000004,0.8,4.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,4.0,0.8,1.6,1.6
1.6,1.6,1.6,4.0,0.8,1.6,1.6
2.4000000000000004,1.6,1.6,4.0,0.8,1.6,1.6
1.6,2.4000000000000004,1.6,4.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,4.0,0.8,1.6,1.6
1.6,1.6,2.4000000000000004,4.0,0.8,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,4.0,0.8,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,4.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,4.0,0.8,1.6,1.6
1.6,1.6,3.2,4.0,0.8,1.6,1.6
2.4000000000000004,1.6,3.2,4.0,0.8,1.6,1.6
1.6,2.4000000000000004,3.2,4.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,4.0,0.8,1.6,1.6
1.6,1.6,4.0,4.0,0.8,1.6,1.6
2.4000000000000004,1.6,4.0,4.0,0.8,1.6,1.6
1.6,2.4000000000000004,4.0,4.0,0.8,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,4.0,0.8,1.6,1.6
1.6,1.6,0.0,0.0,1.6,1.6,1.6
2.4000000000000004,1.6,0.0,0.0,1.6,1.6,1.6
1.6,2.4000000000000004,0.0,0.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,0.0,1.6,1.6,1.6
1.6,1.6,0.8,0.0,1.6,1.6,1.6
2.4000000000000004,1.6,0.8,0.0,1.6,1.6,1.6
1.6,2.4000000000000004,0.8,0.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,0.0,1.6,1.6,1.6
1.6,1.6,1.6,0.0,1.6,1.6,1.6
2.4000000000000004,1.6,1.6,0.0,1.6,1.6,1.6
1.6,2.4000000000000004,1.6,0.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,0.0,1.6,1.6,1.6
1.6,1.6,2.4000000000000004,0.0,1.6,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,0.0,1.6,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,0.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,0.0,1.6,1.6,1.6
1.6,1.6,3.2,0.0,1.6,1.6,1.6
2.4000000000000004,1.6,3.2,0.0,1.6,1.6,1.6
1.6,2.4000000000000004,3.2,0.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,0.0,1.6,1.6,1.6
1.6,1.6,4.0,0.0,1.6,1.6,1.6
2.4000000000000004,1.6,4.0,0.0,1.6,1.6,1.6
1.6,2.4000000000000004,4.0,0.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,0.0,1.6,1.6,1.6
1.6,1.6,0.0,0.8,1.6,1.6,1.6
2.4000000000000004,1.6,0.0,0.8,1.6,1.6,1.6
1.6,2.4000000000000004,0.0,0.8,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,0.8,1.6,1.6,1.6
1.6,1.6,0.8,0.8,1.6,1.6,1.6
2.4000000000000004,1.6,0.8,0.8,1.6,1.6,1.6
1.6,2.4000000000000004,0.8,0.8,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,0.8,1.6,1.6,1.6
1.6,1.6,1.6,0.8,1.6,1.6,1.6
2.4000000000000004,1.6,1.6,0.8,1.6,1.6,1.6
1.6,2.4000000000000004,1.6,0.8,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,0.8,1.6,1.6,1.6
1.6,1.6,2.4000000000000004,0.8,1.6,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,0.8,1.6,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,0.8,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,0.8,1.6,1.6,1.6
1.6,1.6,3.2,0.8,1.6,1.6,1.6
2.4000000000000004,1.6,3.2,0.8,1.6,1.6,1.6
1.6,2.4000000000000004,3.2,0.8,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,0.8,1.6,1.6,1.6
1.6,1.6,4.0,0.8,1.6,1.6,1.6
2.4000000000000004,1.6,4.0,0.8,1.6,1.6,1.6
1.6,2.4000000000000004,4.0,0.8,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,0.8,1.6,1.6,1.6
1.6,1.6,0.0,1.6,1.6,1.6,1.6
2.4000000000000004,1.6,0.0,1.6,1.6,1.6,1.6
1.6,2.4000000000000004,0.0,1.6,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,1.6,1.6,1.6,1.6
1.6,1.6,0.8,1.6,1.6,1.6,1.6
2.4000000000000004,1.6,0.8,1.6,1.6,1.6,1.6
1.6,2.4000000000000004,0.8,1.6,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,1.6,1.6,1.6,1.6
1.6,1.6,1.6,1.6,1.6,1.6,1.6
2.4000000000000004,1.6,1.6,1.6,1.6,1.6,1.6
1.6,2.4000000000000004,1.6,1.6,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,1.6,1.6,1.6,1.6
1.6,1.6,2.4000000000000004,1.6,1.6,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,1.6,1.6,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,1.6,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,1.6,1.6,1.6,1.6
1.6,1.6,3.2,1.6,1.6,1.6,1.6
2.4000000000000004,1.6,3.2,1.6,1.6,1.6,1.6
1.6,2.4000000000000004,3.2,1.6,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,1.6,1.6,1.6,1.6
1.6,1.6,4.0,1.6,1.6,1.6,1.6
2.4000000000000004,1.6,4.0,1.6,1.6,1.6,1.6
1.6,2.4000000000000004,4.0,1.6,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,1.6,1.6,1.6,1.6
1.6,1.6,0.0,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,1.6,0.0,2.4000000000000004,1.6,1.6,1.6
1.6,2.4000000000000004,0.0,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,2.4000000000000004,1.6,1.6,1.6
1.6,1.6,0.8,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,1.6,0.8,2.4000000000000004,1.6,1.6,1.6
1.6,2.4000000000000004,0.8,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,2.4000000000000004,1.6,1.6,1.6
1.6,1.6,1.6,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,1.6,1.6,2.4000000000000004,1.6,1.6,1.6
1.6,2.4000000000000004,1.6,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,2.4000000000000004,1.6,1.6,1.6
1.6,1.6,2.4000000000000004,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,2.4000000000000004,1.6,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,1.6,1.6,1.6
1.6,1.6,3.2,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,1.6,3.2,2.4000000000000004,1.6,1.6,1.6
1.6,2.4000000000000004,3.2,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,2.4000000000000004,1.6,1.6,1.6
1.6,1.6,4.0,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,1.6,4.0,2.4000000000000004,1.6,1.6,1.6
1.6,2.4000000000000004,4.0,2.4000000000000004,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,2.4000000000000004,1.6,1.6,1.6
1.6,1.6,0.0,3.2,1.6,1.6,1.6
2.4000000000000004,1.6,0.0,3.2,1.6,1.6,1.6
1.6,2.4000000000000004,0.0,3.2,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,3.2,1.6,1.6,1.6
1.6,1.6,0.8,3.2,1.6,1.6,1.6
2.4000000000000004,1.6,0.8,3.2,1.6,1.6,1.6
1.6,2.4000000000000004,0.8,3.2,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,3.2,1.6,1.6,1.6
1.6,1.6,1.6,3.2,1.6,1.6,1.6
2.4000000000000004,1.6,1.6,3.2,1.6,1.6,1.6
1.6,2.4000000000000004,1.6,3.2,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,3.2,1.6,1.6,1.6
1.6,1.6,2.4000000000000004,3.2,1.6,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,3.2,1.6,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,3.2,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,3.2,1.6,1.6,1.6
1.6,1.6,3.2,3.2,1.6,1.6,1.6
2.4000000000000004,1.6,3.2,3.2,1.6,1.6,1.6
1.6,2.4000000000000004,3.2,3.2,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,3.2,1.6,1.6,1.6
1.6,1.6,4.0,3.2,1.6,1.6,1.6
2.4000000000000004,1.6,4.0,3.2,1.6,1.6,1.6
1.6,2.4000000000000004,4.0,3.2,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,3.2,1.6,1.6,1.6
1.6,1.6,0.0,4.0,1.6,1.6,1.6
2.4000000000000004,1.6,0.0,4.0,1.6,1.6,1.6
1.6,2.4000000000000004,0.0,4.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,4.0,1.6,1.6,1.6
1.6,1.6,0.8,4.0,1.6,1.6,1.6
2.4000000000000004,1.6,0.8,4.0,1.6,1.6,1.6
1.6,2.4000000000000004,0.8,4.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,4.0,1.6,1.6,1.6
1.6,1.6,1.6,4.0,1.6,1.6,1.6
2.4000000000000004,1.6,1.6,4.0,1.6,1.6,1.6
1.6,2.4000000000000004,1.6,4.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,4.0,1.6,1.6,1.6
1.6,1.6,2.4000000000000004,4.0,1.6,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,4.0,1.6,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,4.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,4.0,1.6,1.6,1.6
1.6,1.6,3.2,4.0,1.6,1.6,1.6
2.4000000000000004,1.6,3.2,4.0,1.6,1.6,1.6
1.6,2.4000000000000004,3.2,4.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,4.0,1.6,1.6,1.6
1.6,1.6,4.0,4.0,1.6,1.6,1.6
2.4000000000000004,1.6,4.0,4.0,1.6,1.6,1.6
1.6,2.4000000000000004,4.0,4.0,1.6,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,4.0,1.6,1.6,1.6
1.6,1.6,0.0,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,0.0,0.0,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,0.0,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,0.0,2.4000000000000004,1.6,1.6
1.6,1.6,0.8,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,0.8,0.0,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,0.8,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,0.0,2.4000000000000004,1.6,1.6
1.6,1.6,1.6,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,1.6,0.0,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,1.6,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,0.0,2.4000000000000004,1.6,1.6
1.6,1.6,2.4000000000000004,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,0.0,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,0.0,2.4000000000000004,1.6,1.6
1.6,1.6,3.2,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,3.2,0.0,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,3.2,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,0.0,2.4000000000000004,1.6,1.6
1.6,1.6,4.0,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,4.0,0.0,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,4.0,0.0,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,0.0,2.4000000000000004,1.6,1.6
1.6,1.6,0.0,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,0.0,0.8,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,0.0,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,0.8,2.4000000000000004,1.6,1.6
1.6,1.6,0.8,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,0.8,0.8,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,0.8,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,0.8,2.4000000000000004,1.6,1.6
1.6,1.6,1.6,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,1.6,0.8,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,1.6,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,0.8,2.4000000000000004,1.6,1.6
1.6,1.6,2.4000000000000004,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,0.8,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,0.8,2.4000000000000004,1.6,1.6
1.6,1.6,3.2,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,3.2,0.8,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,3.2,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,0.8,2.4000000000000004,1.6,1.6
1.6,1.6,4.0,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,4.0,0.8,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,4.0,0.8,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,0.8,2.4000000000000004,1.6,1.6
1.6,1.6,0.0,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,0.0,1.6,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,0.0,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,1.6,2.4000000000000004,1.6,1.6
1.6,1.6,0.8,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,0.8,1.6,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,0.8,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,0.8,1.6,2.4000000000000004,1.6,1.6
1.6,1.6,1.6,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,1.6,1.6,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,1.6,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,1.6,1.6,2.4000000000000004,1.6,1.6
1.6,1.6,2.4000000000000004,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,2.4000000000000004,1.6,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,2.4000000000000004,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,2.4000000000000004,1.6,2.4000000000000004,1.6,1.6
1.6,1.6,3.2,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,3.2,1.6,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,3.2,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,3.2,1.6,2.4000000000000004,1.6,1.6
1.6,1.6,4.0,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,4.0,1.6,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,4.0,1.6,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,4.0,1.6,2.4000000000000004,1.6,1.6
1.6,1.6,0.0,2.4000000000000004,2.4000000000000004,1.6,1.6
2.4000000000000004,1.6,0.0,2.4000000000000004,2.4000000000000004,1.6,1.6
1.6,2.4000000000000004,0.0,2.4000000000000004,2.4000000000000004,1.6,1.6
2.4000000000000004,2.4000000000000004,0.0,2.4000000000000004,2.4000000000000004,1.6,1.6
1.6,1.6,0.8,2.4000000000000004,2.4000000000000004,1.6,1.6
